m_ID,S,S_LowHigh,C,C_category,ratio,NODF,P_Ce,NODFst,N_LowHigh,nSpecA
87,92,0,0.14792,0,1.875,-1.2891,0.9,-0.09,0,0
88,92,0,0.14792,0,1.875,-1.3231,0.91,-0.09,0,2
89,89,0,0.1479,0,3.0455,-0.23783,0.59,-0.02,0,11
90,88,0,0.14783,0,3.1905,-0.68929,0.75,-0.06,0,9
91,88,0,0.14783,0,3.1905,-0.98545,0.84,-0.08,0,8
92,89,0,0.14776,0,3.2381,-0.080743,0.53,-0.01,0,15
93,91,0,0.14757,0,2.3704,-1.067,0.86,-0.07,0,4
94,91,0,0.14757,0,2.3704,-0.35221,0.64,-0.03,0,5
95,91,0,0.14757,0,2.3704,-0.85369,0.8,-0.06,0,5
96,91,0,0.14757,0,2.3704,-0.28388,0.61,-0.02,0,4
97,91,0,0.14756,0,3.1364,0.00026933,0.5,2.17e-05,0,12
98,90,0,0.14756,0,2.3333,-1.5568,0.94,-0.11,0,2
99,92,0,0.14754,0,1.9677,-0.50431,0.69,-0.04,0,5
100,89,0,0.1475,0,2.56,-0.85618,0.8,-0.07,0,6
101,92,0,0.14493,0,3,3.0682,0,0.25,1,16
102,92,0,0.14619,0,3,3.2061,0,0.26,1,12
103,91,0,0.14514,0,2.9565,3.1484,0,0.26,1,14
104,91,0,0.14514,0,2.9565,3.2644,0,0.26,1,14
105,91,0,0.14578,0,2.9565,3.2587,0,0.26,1,12
106,91,0,0.1445,0,2.9565,3.1487,0,0.26,1,11
107,91,0,0.1445,0,2.9565,2.9717,0,0.24,1,14
108,91,0,0.1445,0,2.9565,3.1217,0,0.27,1,8
109,91,0,0.1509,0,2.9565,3.271,0,0.26,1,13
110,90,0,0.1512,0,2.913,3.3238,0,0.26,1,11
111,90,0,0.14731,0,2.913,2.9624,0,0.23,1,14
112,90,0,0.14925,0,2.913,2.9923,0,0.24,1,9
113,90,0,0.14536,0,2.913,3.23,0,0.26,1,14
114,90,0,0.14731,0,2.913,2.6914,0,0.23,1,11
115,90,0,0.14666,0,2.913,3.0409,0,0.25,1,16
116,90,0,0.14471,0,2.913,2.7229,0,0.23,1,11
117,90,0,0.14471,0,2.913,2.7614,0,0.23,1,14
118,90,0,0.14666,0,2.913,3.1002,0,0.26,1,13
119,90,0,0.14536,0,2.913,2.939,0,0.24,1,15
120,90,0,0.1499,0,2.913,3.3649,0,0.27,1,13
121,90,0,0.1512,0,2.913,2.8463,0,0.23,1,10
122,89,0,0.14427,0,2.8696,2.9873,0,0.24,1,16
123,89,0,0.14427,0,2.8696,2.9792,0,0.25,1,16
124,89,0,0.14427,0,2.8696,2.7577,0,0.24,1,18
125,89,0,0.14888,0,2.8696,3.2707,0,0.27,1,12
126,89,0,0.14822,0,2.8696,3.1331,0,0.26,1,7
127,89,0,0.14493,0,2.8696,2.9009,0,0.24,1,19
128,89,0,0.14756,0,2.8696,3.2941,0,0.25,1,15
129,89,0,0.14954,0,2.8696,2.8302,0,0.23,1,16
130,89,0,0.14493,0,2.8696,3.2389,0,0.26,1,17
131,89,0,0.14822,0,2.8696,2.9148,0,0.23,1,15
132,89,0,0.14822,0,2.8696,3.0493,0,0.24,1,15
133,89,0,0.14625,0,2.8696,2.8835,0,0.25,1,17
134,89,0,0.14888,0,2.8696,3.1899,0,0.26,1,14
135,89,0,0.15086,0,2.8696,2.831,0,0.24,1,9
136,89,0,0.14888,0,2.8696,2.9373,0,0.25,1,8
137,89,0,0.14888,0,2.8696,3.119,0,0.26,1,8
138,89,0,0.14625,0,2.8696,2.9367,0,0.24,1,11
139,89,0,0.14722,0,3.0455,2.721,0,0.24,1,8
140,88,0,0.1505,0,2.8261,2.8717,0,0.24,1,15
141,88,0,0.14448,0,2.8261,2.8054,0,0.25,1,7
142,88,0,0.1505,0,2.8261,3.4666,0,0.27,1,15
143,88,0,0.14448,0,2.8261,2.936,0,0.25,1,7
144,88,0,0.14448,0,2.8261,2.9271,0,0.25,1,7
145,88,0,0.14448,0,2.8261,2.7977,0,0.25,1,7
146,88,0,0.14448,0,2.8261,2.845,0,0.24,1,7
147,88,0,0.14448,0,2.8261,2.955,0,0.25,1,7
148,88,0,0.14448,0,2.8261,2.7182,0,0.24,1,7
149,88,0,0.15385,0,2.8261,3.312,0,0.26,1,12
150,88,0,0.15318,0,2.8261,3.1532,0,0.26,1,12
151,88,0,0.15318,0,2.8261,3.4079,0,0.27,1,14
152,88,0,0.1505,0,2.8261,3.027,0,0.25,1,15
153,88,0,0.15318,0,2.8261,3.0281,0,0.25,1,11
154,88,0,0.14515,0,2.8261,3.2171,0,0.27,1,21
155,88,0,0.14582,0,2.8261,2.7747,0,0.23,1,11
156,88,0,0.14582,0,2.8261,2.965,0,0.26,1,9
157,88,0,0.14783,0,2.8261,3.1231,0,0.26,1,13
158,88,0,0.14716,0,2.8261,2.9404,0,0.25,1,13
159,88,0,0.14649,0,2.8261,3.1431,0,0.26,1,17
160,88,0,0.14515,0,2.8261,3.1129,0,0.26,1,15
161,88,0,0.14983,0,2.8261,3.1911,0,0.25,1,12
162,88,0,0.14448,0,2.8261,3.1599,0,0.27,1,13
